iter	Passed	Remaining
0	177	177547
1	198	99116
2	222	73885
3	239	59549
4	257	51199
5	270	44793
6	286	40690
7	302	37468
8	320	35314
9	336	33301
10	351	31565
11	367	30246
12	382	29048
13	397	27994
14	415	27289
15	431	26523
16	449	25990
17	464	25323
18	480	24785
19	494	24221
20	512	23883
21	528	23511
22	545	23170
23	562	22861
24	578	22560
25	595	22300
26	611	22036
27	627	21791
28	643	21534
29	662	21409
30	678	21211
31	694	21019
32	711	20844
33	726	20628
34	741	20445
35	757	20277
36	771	20083
37	787	19928
38	800	19734
39	818	19641
40	833	19484
41	851	19417
42	868	19339
43	887	19288
44	905	19210
45	926	19213
46	947	19213
47	965	19147
48	983	19085
49	1001	19021
50	1018	18945
51	1034	18854
52	1049	18760
53	1066	18691
54	1083	18615
55	1101	18567
56	1117	18481
57	1135	18449
58	1152	18376
59	1166	18273
60	1181	18190
61	1197	18121
62	1213	18052
63	1229	17980
64	1245	17917
65	1260	17840
66	1273	17735
67	1287	17649
68	1301	17565
69	1315	17478
70	1330	17405
71	1344	17325
72	1359	17260
73	1373	17184
74	1387	17107
75	1400	17028
76	1413	16944
77	1428	16889
78	1442	16816
79	1456	16753
80	1471	16700
81	1485	16635
82	1499	16569
83	1512	16497
84	1526	16430
85	1539	16364
86	1553	16299
87	1565	16228
88	1579	16165
89	1591	16093
90	1606	16044
91	1620	15993
92	1635	15946
93	1647	15879
94	1660	15821
95	1675	15774
96	1688	15720
97	1701	15657
98	1713	15591
99	1726	15539
100	1739	15479
101	1753	15437
102	1768	15397
103	1780	15340
104	1793	15286
105	1805	15226
106	1818	15173
107	1831	15128
108	1845	15082
109	1858	15037
110	1870	14981
111	1884	14938
112	1896	14887
113	1909	14841
114	1922	14794
115	1938	14769
116	1950	14723
117	1965	14692
118	1979	14654
119	1994	14626
120	2008	14592
121	2024	14566
122	2039	14541
123	2053	14510
124	2068	14478
125	2083	14448
126	2097	14417
127	2112	14392
128	2125	14354
129	2140	14327
130	2154	14289
131	2167	14252
132	2179	14209
133	2192	14172
134	2204	14127
135	2218	14096
136	2231	14059
137	2246	14029
138	2259	13997
139	2272	13962
140	2286	13928
141	2300	13898
142	2312	13857
143	2329	13846
144	2347	13842
145	2366	13839
146	2383	13831
147	2401	13822
148	2416	13802
149	2433	13791
150	2449	13774
151	2465	13754
152	2481	13739
153	2497	13720
154	2512	13698
155	2525	13663
156	2539	13633
157	2551	13598
158	2564	13566
159	2578	13535
160	2590	13500
161	2604	13470
162	2616	13436
163	2630	13410
164	2647	13395
165	2662	13375
166	2674	13341
167	2687	13310
168	2703	13294
169	2722	13294
170	2741	13292
171	2762	13300
172	2780	13293
173	2798	13285
174	2816	13279
175	2836	13278
176	2852	13264
177	2870	13257
178	2888	13250
179	2906	13242
180	2926	13241
181	2943	13228
182	2961	13220
183	2978	13209
184	2996	13200
185	3016	13202
186	3034	13194
187	3053	13187
188	3072	13184
189	3090	13173
190	3108	13164
191	3128	13163
192	3147	13158
193	3165	13151
194	3184	13145
195	3203	13140
196	3221	13129
197	3240	13127
198	3261	13129
199	3281	13125
200	3303	13132
201	3328	13150
202	3352	13160
203	3375	13172
204	3397	13174
205	3417	13172
206	3440	13178
207	3461	13181
208	3481	13176
209	3502	13176
210	3521	13167
211	3538	13153
212	3559	13152
213	3581	13154
214	3603	13155
215	3623	13151
216	3644	13151
217	3670	13165
218	3692	13168
219	3716	13178
220	3758	13247
221	3788	13278
222	3809	13272
223	3828	13261
224	3842	13234
225	3858	13212
226	3873	13189
227	3898	13199
228	3916	13187
229	3937	13181
230	3957	13174
231	3981	13180
232	4000	13170
233	4022	13167
234	4043	13162
235	4061	13149
236	4084	13150
237	4106	13147
238	4127	13143
239	4153	13151
240	4173	13145
241	4193	13133
242	4214	13127
243	4233	13117
244	4255	13113
245	4273	13097
246	4294	13092
247	4312	13077
248	4330	13060
249	4348	13046
250	4371	13044
251	4393	13040
252	4411	13025
253	4431	13014
254	4453	13010
255	4475	13007
256	4495	12997
257	4517	12991
258	4535	12977
259	4557	12972
260	4576	12958
261	4597	12951
262	4620	12946
263	4638	12932
264	4655	12912
265	4671	12889
266	4686	12866
267	4699	12834
268	4713	12808
269	4727	12782
270	4740	12751
271	4754	12724
272	4767	12696
273	4781	12669
274	4794	12640
275	4807	12609
276	4822	12586
277	4837	12564
278	4854	12544
279	4870	12523
280	4886	12502
281	4904	12486
282	4920	12466
283	4936	12445
284	4953	12427
285	4969	12407
286	4986	12387
287	5002	12367
288	5018	12346
289	5033	12323
290	5048	12300
291	5064	12279
292	5081	12260
293	5097	12241
294	5115	12224
295	5131	12204
296	5147	12183
297	5163	12163
298	5178	12141
299	5194	12120
300	5208	12095
301	5225	12076
302	5243	12061
303	5260	12043
304	5276	12022
305	5292	12002
306	5308	11983
307	5324	11962
308	5339	11941
309	5354	11917
310	5371	11899
311	5388	11881
312	5406	11865
313	5420	11841
314	5437	11823
315	5450	11798
316	5465	11775
317	5480	11753
318	5493	11728
319	5507	11703
320	5521	11679
321	5538	11661
322	5582	11699
323	5600	11685
324	5617	11667
325	5635	11650
326	5652	11634
327	5668	11613
328	5686	11596
329	5702	11578
330	5719	11559
331	5735	11540
332	5753	11524
333	5775	11516
334	5793	11501
335	5812	11487
336	5830	11471
337	5845	11449
338	5862	11431
339	5877	11409
340	5892	11387
341	5909	11370
342	5924	11348
343	5941	11330
344	5956	11309
345	5972	11289
346	5987	11268
347	6002	11246
348	6017	11224
349	6031	11201
350	6046	11179
351	6059	11154
352	6071	11128
353	6085	11104
354	6097	11078
355	6111	11055
356	6125	11032
357	6138	11008
358	6151	10984
359	6164	10958
360	6178	10937
361	6192	10914
362	6204	10888
363	6217	10864
364	6231	10841
365	6245	10819
366	6259	10796
367	6273	10774
